production,,"gg->H,0jet,pTH<10GeV","gg->H,0jet,10<=pTH<200GeV","gg->H,1jet,pTH<60GeV","gg->H,1jet,60<=pTH<120GeV","gg->H,1jet,120<=pTH<200GeV","gg->H,>=2jet,mjj<350GeV,pTH<60GeV","gg->H,>=2jet,mjj<350GeV,60<=pTH<120GeV","gg->H,>=2jet,mjj<350GeV,120<=pTH<200GeV","gg->H,>=2jet,350<=mjj<700GeV,pTH<200GeV","gg->H,>=2jet,mjj>=700GeV,pTH<200GeV","gg->H,200<=pTH<300GeV","gg->H,300<=pTH<450GeV","gg->H,pTH>=450GeV","qq->Hqq,<=1jet","qq->Hqq,>=2jet,mjj<350GeV,VHveto","qq->Hqq,>=2jet,mjj<350GeV,VHtopo","qq->Hqq,>=2jet,350<=mjj<700GeV,pTH<200GeV","qq->Hqq,>=2jet,700<=mjj<1000GeV,pTH<200GeV","qq->Hqq,>=2jet,1000<=mjj<1500GeV,pTH<200GeV","qq->Hqq,>=2jet,mjj>=1500GeV,pTH<200GeV","qq->Hqq,>=2jet,mjj>=350GeV,pTH>=200GeV","qq->Hlv,pTV<75GeV","qq->Hlv,75<=pTV<150GeV","qq->Hlv,150<=pTV<250GeV","qq->Hlv,250<=pTV<400GeV","qq->Hlv,pTV>=400GeV","gg/qq->Hll,pTV<150GeV","gg/qq->Hll,150<=pTV<250GeV","gg/qq->Hll,250<=pTV<400GeV","gg/qq->Hll,pTV>=400GeV","ttH,pTH<60GeV","ttH,60<=pTH<120GeV","ttH,120<=pTH<200GeV","ttH,200<=pTH<300GeV","ttH,300<=pTH<450GeV","ttH,pTH>=450GeV",tH,none,none,none,none
decay,,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->ZZ->4l,H->gaga,H->bb,H->WW->lvlv,H->tautau
production,decay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gg->H,0jet,pTH<10GeV",H->ZZ->4l,"1.0","0.02","0.07","0.11","0.05","0.02","0.01","0.03","0.08","0.01","0.1","0.04","0.05","0.03","0.07","0.08","0.02","0.07","0.12","0.15","0.19","0.09","0.07","0.1","0.11","0.08","0.01","0.11","0.1","0.02","0.05","0.06","0.07","0.08","0.02","0.01",0.03,-0.34,-0.14,-0.35,-0.23
"gg->H,0jet,10<=pTH<200GeV",H->ZZ->4l,"0.02","1.0","-0.18","0.28","0.18","-0.07","-0.04","0.12","0.14","0.02","0.28","0.14","0.11","-0.02","0.08","0.09","0.11","0.1","0.2","0.2","0.26","0.12","0.11","0.15","0.15","0.11","0.01","0.16","0.14","0.03","0.07","0.09","0.11","0.11","0.03","0.01",0.02,-0.48,-0.21,-0.47,-0.32
"gg->H,1jet,pTH<60GeV",H->ZZ->4l,"0.07","-0.18","1.0","0.21","0.26","-0.19","0.02","-0.01","0.03","0.02","0.11","0.08","0.04","-0.35","0.04","0.02","0.02","0.04","0.05","0.06","0.05","0.01","0.02","0.03","0.02","0.02","0.0","0.03","0.02","0.0","0.01","0.02","0.02","0.02","0.0","0.0",0.01,-0.08,-0.03,-0.03,-0.05
"gg->H,1jet,60<=pTH<120GeV",H->ZZ->4l,"0.11","0.28","0.21","1.0","0.44","-0.01","-0.22","0.06","0.07","0.03","0.29","0.19","0.09","-0.58","0.06","0.06","0.1","0.11","0.14","0.14","0.15","0.07","0.06","0.09","0.08","0.06","0.0","0.09","0.08","0.01","0.03","0.05","0.06","0.06","0.02","0.01",0.0,-0.26,-0.12,-0.23,-0.2
"gg->H,1jet,120<=pTH<200GeV",H->ZZ->4l,"0.05","0.18","0.26","0.44","1.0","-0.02","-0.02","-0.06","0.04","0.02","0.23","0.17","0.07","-0.6","0.04","0.05","0.07","0.08","0.11","0.08","0.09","0.04","0.03","0.05","0.05","0.04","-0.01","0.06","0.05","0.01","0.02","0.03","0.03","0.03","0.01","0.0",0.0,-0.14,-0.07,-0.09,-0.16
"gg->H,>=2jet,mjj<350GeV,pTH<60GeV",H->ZZ->4l,"0.02","-0.07","-0.19","-0.01","-0.02","1.0","-0.01","0.07","-0.06","0.0","0.04","0.04","0.02","-0.03","-0.23","-0.07","0.01","0.0","-0.01","0.0","-0.02","0.0","0.0","0.0","0.0","0.0","0.0","-0.01","-0.01","0.0","-0.01","0.01","0.0","0.01","0.0","0.0",-0.01,0.0,0.01,0.0,0.03
"gg->H,>=2jet,mjj<350GeV,60<=pTH<120GeV",H->ZZ->4l,"0.01","-0.04","0.02","-0.22","-0.02","-0.01","1.0","0.16","-0.05","0.03","0.13","0.1","0.05","0.02","-0.4","-0.18","0.02","-0.03","-0.02","-0.02","-0.04","0.0","0.0","0.0","0.0","0.0","0.0","-0.01","0.0","0.0","0.01","0.0","0.01","0.01","0.0","0.0",-0.01,0.0,0.01,-0.01,0.01
"gg->H,>=2jet,mjj<350GeV,120<=pTH<200GeV",H->ZZ->4l,"0.03","0.12","-0.01","0.06","-0.06","0.07","0.16","1.0","-0.01","0.05","0.25","0.2","0.11","0.04","-0.53","-0.28","0.07","-0.02","0.01","0.0","0.02","0.03","0.03","0.03","0.03","0.02","0.01","0.03","0.03","0.01","0.02","0.03","0.02","0.04","0.01","0.0",0.0,-0.14,-0.04,-0.07,-0.11
"gg->H,>=2jet,350<=mjj<700GeV,pTH<200GeV",H->ZZ->4l,"0.08","0.14","0.03","0.07","0.04","-0.06","-0.05","-0.01","1.0","-0.09","0.13","0.08","0.06","0.0","-0.02","0.09","-0.55","0.09","0.09","0.12","0.12","0.07","0.06","0.08","0.07","0.05","0.0","0.08","0.07","0.01","0.03","0.05","0.06","0.07","0.02","0.01",-0.03,-0.23,-0.1,-0.14,-0.19
"gg->H,>=2jet,mjj>=700GeV,pTH<200GeV",H->ZZ->4l,"0.01","0.02","0.02","0.03","0.02","0.0","0.03","0.05","-0.09","1.0","0.05","0.05","0.03","-0.06","-0.06","0.0","0.0","-0.53","-0.28","-0.2","0.01","0.02","0.01","0.0","0.01","0.0","0.01","0.01","0.01","0.0","0.02","0.02","0.03","0.02","0.01","0.01",-0.05,-0.04,-0.01,0.0,-0.01
"gg->H,200<=pTH<300GeV",H->ZZ->4l,"0.1","0.28","0.11","0.29","0.23","0.04","0.13","0.25","0.13","0.05","1.0","0.21","0.13","-0.23","-0.27","-0.09","0.07","0.06","0.12","0.12","0.03","0.08","0.08","0.07","0.07","0.05","0.02","0.08","0.07","0.01","0.04","0.07","0.07","0.07","0.03","0.01",-0.01,-0.33,-0.1,-0.23,-0.28
"gg->H,300<=pTH<450GeV",H->ZZ->4l,"0.04","0.14","0.08","0.19","0.17","0.04","0.1","0.2","0.08","0.05","0.21","1.0","-0.06","-0.2","-0.21","-0.07","0.04","0.03","0.06","0.06","-0.01","0.04","0.04","0.03","0.03","0.02","0.01","0.04","0.03","0.01","0.03","0.03","0.06","0.04","-0.02","0.02",-0.02,-0.13,-0.04,-0.12,-0.17
"gg->H,pTH>=450GeV",H->ZZ->4l,"0.05","0.11","0.04","0.09","0.07","0.02","0.05","0.11","0.06","0.03","0.13","-0.06","1.0","-0.05","-0.1","0.0","0.02","0.02","0.04","0.05","0.03","0.04","0.04","0.04","0.04","0.03","0.01","0.04","0.04","0.01","0.02","0.03","0.05","0.03","0.02","-0.04",0.01,-0.15,-0.05,-0.1,-0.11
"qq->Hqq,<=1jet",H->ZZ->4l,"0.03","-0.02","-0.35","-0.58","-0.6","-0.03","0.02","0.04","0.0","-0.06","-0.23","-0.2","-0.05","1.0","0.0","0.02","-0.07","-0.07","-0.07","-0.05","0.03","0.02","0.01","0.02","0.02","0.02","0.0","0.02","0.02","0.0","0.01","0.01","0.02","0.02","0.01","0.0",0.03,-0.09,-0.03,-0.07,-0.03
"qq->Hqq,>=2jet,mjj<350GeV,VHveto",H->ZZ->4l,"0.07","0.08","0.04","0.06","0.04","-0.23","-0.4","-0.53","-0.02","-0.06","-0.27","-0.21","-0.1","0.0","1.0","0.22","-0.02","0.09","0.08","0.11","0.16","0.05","0.03","0.07","0.06","0.05","0.0","0.07","0.06","0.01","0.03","0.03","0.04","0.03","0.02","0.01",-0.01,-0.15,-0.09,-0.11,-0.12
"qq->Hqq,>=2jet,mjj<350GeV,VHtopo",H->ZZ->4l,"0.08","0.09","0.02","0.06","0.05","-0.07","-0.18","-0.28","0.09","0.0","-0.09","-0.07","0.0","0.02","0.22","1.0","-0.02","0.05","0.06","0.08","0.15","0.05","0.04","0.07","0.07","0.05","-0.01","0.08","0.06","0.01","0.02","0.04","0.05","0.05","0.02","0.01",-0.01,-0.18,-0.1,-0.13,-0.21
"qq->Hqq,>=2jet,350<=mjj<700GeV,pTH<200GeV",H->ZZ->4l,"0.02","0.11","0.02","0.1","0.07","0.01","0.02","0.07","-0.55","0.0","0.07","0.04","0.02","-0.07","-0.02","-0.02","1.0","-0.08","0.09","0.05","0.02","0.01","0.01","0.01","0.01","0.01","0.0","0.01","0.01","0.0","0.0","0.01","0.01","0.01","0.0","0.0",0.01,-0.04,-0.02,-0.13,-0.03
"qq->Hqq,>=2jet,700<=mjj<1000GeV,pTH<200GeV",H->ZZ->4l,"0.07","0.1","0.04","0.11","0.08","0.0","-0.03","-0.02","0.09","-0.53","0.06","0.03","0.02","-0.07","0.09","0.05","-0.08","1.0","-0.07","0.21","0.07","0.03","0.03","0.05","0.04","0.03","-0.01","0.05","0.04","0.01","0.01","0.02","0.03","0.03","0.01","0.0",0.02,-0.12,-0.06,-0.17,-0.15
"qq->Hqq,>=2jet,1000<=mjj<1500GeV,pTH<200GeV",H->ZZ->4l,"0.12","0.2","0.05","0.14","0.11","-0.01","-0.02","0.01","0.09","-0.28","0.12","0.06","0.04","-0.07","0.08","0.06","0.09","-0.07","1.0","-0.06","0.14","0.06","0.05","0.08","0.08","0.06","0.0","0.09","0.07","0.01","0.03","0.04","0.05","0.05","0.02","0.01",0.01,-0.22,-0.11,-0.31,-0.23
"qq->Hqq,>=2jet,mjj>=1500GeV,pTH<200GeV",H->ZZ->4l,"0.15","0.2","0.06","0.14","0.08","0.0","-0.02","0.0","0.12","-0.2","0.12","0.06","0.05","-0.05","0.11","0.08","0.05","0.21","-0.06","1.0","0.15","0.07","0.06","0.12","0.12","0.09","-0.01","0.13","0.11","0.02","0.04","0.06","0.08","0.08","0.03","0.01",0.01,-0.28,-0.17,-0.34,-0.29
"qq->Hqq,>=2jet,mjj>=350GeV,pTH>=200GeV",H->ZZ->4l,"0.19","0.26","0.05","0.15","0.09","-0.02","-0.04","0.02","0.12","0.01","0.03","-0.01","0.03","0.03","0.16","0.15","0.02","0.07","0.14","0.15","1.0","0.11","0.07","0.28","0.29","0.21","-0.05","0.3","0.28","0.05","0.07","0.1","0.15","0.15","0.08","0.03",-0.04,-0.39,-0.42,-0.4,-0.47
"qq->Hlv,pTV<75GeV",H->ZZ->4l,"0.09","0.12","0.01","0.07","0.04","0.0","0.0","0.03","0.07","0.02","0.08","0.04","0.04","0.02","0.05","0.05","0.01","0.03","0.06","0.07","0.11","1.0","-0.15","0.1","0.08","0.06","-0.03","0.09","0.07","0.01","0.03","0.05","0.06","0.07","0.03","0.01",-0.03,-0.23,-0.11,-0.14,-0.14
"qq->Hlv,75<=pTV<150GeV",H->ZZ->4l,"0.07","0.11","0.02","0.06","0.03","0.0","0.0","0.03","0.06","0.01","0.08","0.04","0.04","0.01","0.03","0.04","0.01","0.03","0.05","0.06","0.07","-0.15","1.0","-0.09","0.04","0.02","-0.14","0.02","0.02","0.0","0.03","0.04","0.04","0.05","0.02","0.01",-0.05,-0.2,-0.03,-0.12,-0.11
"qq->Hlv,150<=pTV<250GeV",H->ZZ->4l,"0.1","0.15","0.03","0.09","0.05","0.0","0.0","0.03","0.08","0.0","0.07","0.03","0.04","0.02","0.07","0.07","0.01","0.05","0.08","0.12","0.28","0.1","-0.09","1.0","0.39","0.33","-0.12","0.42","0.43","0.07","0.07","0.09","0.17","0.16","0.13","0.05",-0.13,-0.26,-0.64,-0.19,-0.2
"qq->Hlv,250<=pTV<400GeV",H->ZZ->4l,"0.11","0.15","0.02","0.08","0.05","0.0","0.0","0.03","0.07","0.01","0.07","0.03","0.04","0.02","0.06","0.07","0.01","0.04","0.08","0.12","0.29","0.08","0.04","0.39","1.0","0.19","-0.1","0.45","0.39","0.09","0.06","0.09","0.19","0.17","0.13","0.05",-0.12,-0.26,-0.66,-0.21,-0.21
"qq->Hlv,pTV>=400GeV",H->ZZ->4l,"0.08","0.11","0.02","0.06","0.04","0.0","0.0","0.02","0.05","0.0","0.05","0.02","0.03","0.02","0.05","0.05","0.01","0.03","0.06","0.09","0.21","0.06","0.02","0.33","0.19","1.0","-0.09","0.34","0.3","-0.07","0.05","0.07","0.14","0.12","0.09","0.04",-0.09,-0.19,-0.48,-0.15,-0.16
"gg/qq->Hll,pTV<150GeV",H->ZZ->4l,"0.01","0.01","0.0","0.0","-0.01","0.0","0.0","0.01","0.0","0.01","0.02","0.01","0.01","0.0","0.0","-0.01","0.0","-0.01","0.0","-0.01","-0.05","-0.03","-0.14","-0.12","-0.1","-0.09","1.0","-0.14","-0.1","-0.03","-0.01","-0.01","-0.05","-0.03","-0.04","-0.01",0.04,-0.03,0.18,0.0,0.0
"gg/qq->Hll,150<=pTV<250GeV",H->ZZ->4l,"0.11","0.16","0.03","0.09","0.06","-0.01","-0.01","0.03","0.08","0.01","0.08","0.04","0.04","0.02","0.07","0.08","0.01","0.05","0.09","0.13","0.3","0.09","0.02","0.42","0.45","0.34","-0.14","1.0","0.45","0.09","0.07","0.1","0.19","0.17","0.13","0.05",-0.12,-0.28,-0.67,-0.22,-0.23
"gg/qq->Hll,250<=pTV<400GeV",H->ZZ->4l,"0.1","0.14","0.02","0.08","0.05","-0.01","0.0","0.03","0.07","0.01","0.07","0.03","0.04","0.02","0.06","0.06","0.01","0.04","0.07","0.11","0.28","0.07","0.02","0.43","0.39","0.3","-0.1","0.45","1.0","-0.01","0.06","0.09","0.18","0.16","0.13","0.05",-0.11,-0.24,-0.65,-0.19,-0.2
"gg/qq->Hll,pTV>=400GeV",H->ZZ->4l,"0.02","0.03","0.0","0.01","0.01","0.0","0.0","0.01","0.01","0.0","0.01","0.01","0.01","0.0","0.01","0.01","0.0","0.01","0.01","0.02","0.05","0.01","0.0","0.07","0.09","-0.07","-0.03","0.09","-0.01","1.0","0.01","0.02","0.03","0.03","0.02","0.01",-0.02,-0.04,-0.11,-0.04,-0.04
"ttH,pTH<60GeV",H->ZZ->4l,"0.05","0.07","0.01","0.03","0.02","-0.01","0.01","0.02","0.03","0.02","0.04","0.03","0.02","0.01","0.03","0.02","0.0","0.01","0.03","0.04","0.07","0.03","0.03","0.07","0.06","0.05","-0.01","0.07","0.06","0.01","1.0","-0.05","0.05","0.05","0.03","0.02",-0.1,-0.11,-0.09,-0.08,-0.07
"ttH,60<=pTH<120GeV",H->ZZ->4l,"0.06","0.09","0.02","0.05","0.03","0.01","0.0","0.03","0.05","0.02","0.07","0.03","0.03","0.01","0.03","0.04","0.01","0.02","0.04","0.06","0.1","0.05","0.04","0.09","0.09","0.07","-0.01","0.1","0.09","0.02","-0.05","1.0","0.03","0.08","0.06","0.04",-0.19,-0.16,-0.13,-0.11,-0.1
"ttH,120<=pTH<200GeV",H->ZZ->4l,"0.07","0.11","0.02","0.06","0.03","0.0","0.01","0.02","0.06","0.03","0.07","0.06","0.05","0.02","0.04","0.05","0.01","0.03","0.05","0.08","0.15","0.06","0.04","0.17","0.19","0.14","-0.05","0.19","0.18","0.03","0.05","0.03","1.0","0.07","0.11","0.06",-0.25,-0.17,-0.28,-0.14,-0.15
"ttH,200<=pTH<300GeV",H->ZZ->4l,"0.08","0.11","0.02","0.06","0.03","0.01","0.01","0.04","0.07","0.02","0.07","0.04","0.03","0.02","0.03","0.05","0.01","0.03","0.05","0.08","0.15","0.07","0.05","0.16","0.17","0.12","-0.03","0.17","0.16","0.03","0.05","0.08","0.07","1.0","0.05","0.09",-0.31,-0.21,-0.24,-0.14,-0.15
"ttH,300<=pTH<450GeV",H->ZZ->4l,"0.02","0.03","0.0","0.02","0.01","0.0","0.0","0.01","0.02","0.01","0.03","-0.02","0.02","0.01","0.02","0.02","0.0","0.01","0.02","0.03","0.08","0.03","0.02","0.13","0.13","0.09","-0.04","0.13","0.13","0.02","0.03","0.06","0.11","0.05","1.0","-0.46",-0.26,-0.04,-0.2,-0.05,-0.06
"ttH,pTH>=450GeV",H->ZZ->4l,"0.01","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.01","0.01","0.01","0.02","-0.04","0.0","0.01","0.01","0.0","0.0","0.01","0.01","0.03","0.01","0.01","0.05","0.05","0.04","-0.01","0.05","0.05","0.01","0.02","0.04","0.06","0.09","-0.46","1.0",-0.17,-0.01,-0.07,-0.02,-0.02
tH,H->ZZ->4l,"0.03","0.02","0.01","0.0","0.0","-0.01","-0.01","0.0","-0.03","-0.05","-0.01","-0.02","0.01","0.03","-0.01","-0.01","0.01","0.02","0.01","0.01","-0.04","-0.03","-0.05","-0.13","-0.12","-0.09","0.04","-0.12","-0.11","-0.02","-0.1","-0.19","-0.25","-0.31","-0.26","-0.17",1.0,-0.09,0.18,-0.02,0.01
none,H->gaga,"-0.34","-0.48","-0.08","-0.26","-0.14","0.0","0.0","-0.14","-0.23","-0.04","-0.33","-0.13","-0.15","-0.09","-0.15","-0.18","-0.04","-0.12","-0.22","-0.28","-0.39","-0.23","-0.2","-0.26","-0.26","-0.19","-0.03","-0.28","-0.24","-0.04","-0.11","-0.16","-0.17","-0.21","-0.04","-0.01",-0.09,1.0,0.35,0.57,0.53
none,H->bb,"-0.14","-0.21","-0.03","-0.12","-0.07","0.01","0.01","-0.04","-0.1","-0.01","-0.1","-0.04","-0.05","-0.03","-0.09","-0.1","-0.02","-0.06","-0.11","-0.17","-0.42","-0.11","-0.03","-0.64","-0.66","-0.48","0.18","-0.67","-0.65","-0.11","-0.09","-0.13","-0.28","-0.24","-0.2","-0.07",0.18,0.35,1.0,0.29,0.3
none,H->WW->lvlv,"-0.35","-0.47","-0.03","-0.23","-0.09","0.0","-0.01","-0.07","-0.14","0.0","-0.23","-0.12","-0.1","-0.07","-0.11","-0.13","-0.13","-0.17","-0.31","-0.34","-0.4","-0.14","-0.12","-0.19","-0.21","-0.15","0.0","-0.22","-0.19","-0.04","-0.08","-0.11","-0.14","-0.14","-0.05","-0.02",-0.02,0.57,0.29,1.0,0.48
none,H->tautau,"-0.23","-0.32","-0.05","-0.2","-0.16","0.03","0.01","-0.11","-0.19","-0.01","-0.28","-0.17","-0.11","-0.03","-0.12","-0.21","-0.03","-0.15","-0.23","-0.29","-0.47","-0.14","-0.11","-0.2","-0.21","-0.16","0.0","-0.23","-0.2","-0.04","-0.07","-0.1","-0.15","-0.15","-0.06","-0.02",0.01,0.53,0.3,0.48,1.0
