bin,"ceH,22","ceH,33",c(3)Hq,cbH,cHG,ctG,ctH,cHB,cHW,cHWB,ctB,ctW,cW,cHu,c(1)Hq,cHd,"c(3)Hl,33",cHt,"cHe,33","c(1)Hl,33",cHb,cG,"c(1,8)Qq","c(3,1)Qq",c(8)tq,c(8)Qu,c(8)tu,c(8)td,c(8)Qd,"c(3,8)Qq","c(1,1)Qq",c(1)tu,c(1)tq,c(1)Qu,c(1)Qd,cHbox,"c(3)Hl,11","c(3)Hl,22","cll,1221","c(1)Hl,11","c(1)Hl,22","cHe,11","cHe,22",cHDD,c(3)HQ,c(1)HQ,cH
"all->H,H->Zga","0.0","0.0",0.07,0.0,28.35,-1.0,-0.1,0.0,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.08","-0.08","0.04","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.002
"gg->H,0-jet,pTH<10GeV","0.0","0.0",0.0,0.0,35.41,-1.28,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,0-jet,pTH<200GeV","0.0","0.0",0.0,0.0,35.85,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,0-jet,10<=pTH<200GeV","0.0","0.0",0.0,0.0,36.0,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,1-jet,pTH<60GeV","0.0","0.0",0.0,0.0,37.57,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,1-jet,60<=pTH<120GeV","0.0","0.0",0.0,0.0,39.04,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,1-jet,120<=pTH<200GeV","0.0","0.0",0.0,0.0,41.46,-1.31,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,>=2-jet,mjj<350GeV,pTH<120GeV","0.0","0.0",0.0,0.0,39.45,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,>=2-jet,mjj<350GeV,120<=pTH<200GeV","0.0","0.0",0.0,0.0,41.57,-1.3,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"gg->H,>=2-jet,mjj>=350GeV,pTH<200GeV","0.0","0.0",0.0,0.0,40.72,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,>=2-jet,pTH<200GeV","0.0","0.0",0.0,0.0,40.11,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,200<=pTH<300GeV","0.0","0.0",0.0,0.0,46.22,-1.41,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,300<=pTH<450GeV","0.0","0.0",0.0,0.0,55.83,-1.67,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,>=2-jet,pTH>200GeV","0.0","0.0",0.0,0.0,49.32,-1.5,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,pTH>200GeV","0.0","0.0",0.0,0.0,47.03383458646616,-1.433458646616541,-0.11999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.11999999999999998,"-0.05999999999999999","-0.05999999999999999","0.029999999999999995","0.0","0.0","0.0","0.0",-0.029999999999999995,0.0,0.0,-0.001
"gg->H,pTH>=300GeV","0.0","0.0",0.0,0.0,59.75,-1.8,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,pTH>=450GeV","0.0","0.0",0.0,0.0,79.57,-2.44,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,450<=pTH<650GeV","0.0","0.0",0.0,0.0,71.82,-2.18,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,pTH>650GeV","0.0","0.0",0.0,0.0,109.45,-3.44,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"gg->H,ttH,H->mumu","0.0","0.0",0.0,0.0,36.44,-1.28,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.002
"gg->H,1-jetor>=2-jet,mjj<350GeV,60<=pTH<120GeV","0.0","0.0",0.0,0.0,39.19,-1.29,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"qq->Hlv,pTV<150GeV","0.0","0.0",1.36,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.03",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.06","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.004
"qq->Hlv,pTV>150GeV","0.0","0.0",5.35,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.03",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.09","-0.09","0.06","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0
"qq->Hlv,150<=pTV<250GeV","0.0","0.0",3.73,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.03",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.09","-0.09","0.06","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0
"qq->Hlv,250<=pTV<400GeV","0.0","0.0",8.14,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.03",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.09","-0.09","0.06","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0.001
"qq->Hlv,pTV>=400GeV","0.0","0.0",21.89,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.03",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.06","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0.002
qq->Hqq,"0.0","0.0",0.11,0.0,0.0,0.0,0.0,0.01,0.11,0.04,0.0,0.0,0.0,0.01,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.17","-0.17","0.08","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.002
"qq->Hqq,<=1-jetandVH-veto(VBF)","0.0","0.0",-0.07,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,-0.01,0.01,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.09","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.002
"qq->Hqq,>=2-jet,60<mjj<120GeV","0.0","0.0",1.88,0.0,0.0,0.0,0.0,0.02,0.62,0.09,0.0,0.0,0.0,0.13,-0.04,-0.05,"-0.01",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.14","-0.14","0.07","0.0","0.0","0.0","0.0",-0.03,-0.01,-0.01,-0.003
"qq->Hqq,>=2-jet,350<=mjj<1000GeV,pTH>=200GeV","0.0","0.0",-0.89,0.0,0.0,0.0,0.0,0.01,0.31,0.02,0.0,0.0,0.0,-0.06,0.04,0.02,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.09","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
"qq->Hqq,>=2-jet,350<=mjj<700GeV,pTH<200GeV","0.0","0.0",-0.35,0.0,0.0,0.0,0.0,0.0,-0.11,0.02,0.0,0.0,0.0,-0.03,0.0,0.01,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.09","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.002
"qq->Hqq,>=2-jet,700<=mjj<1000GeV,pTH<200GeV","0.0","0.0",-0.39,0.0,0.0,0.0,0.0,0.0,-0.13,0.02,0.0,0.0,0.0,-0.02,0.0,0.01,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.09","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.002
